year;area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;name_numerator;name_denominator;period
2013;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;66.2;65;137203;rate;antall;innbyggere;2013-2017
2016;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;70.1;76;149803;rate;antall;innbyggere;2013-2017
2014;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;68.4;75;141836;rate;antall;innbyggere;2013-2017
2015;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;89.1;91;146160;rate;antall;innbyggere;2013-2017
2017;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;85.2;94;152704;rate;antall;innbyggere;2013-2017
2013;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;66.2;65;137203;rate;antall;innbyggere;2013-2017
2016;15;4;Utvalgt handkirurgi;Lovisenberg;1;Dagkirurgi;70.1;76;149803;rate;antall;innbyggere;2013-2017
2014;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;98.3;127;135113;rate;antall;innbyggere;2013-2017
2013;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;90.8;114;132704;rate;antall;innbyggere;2013-2017
2015;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;97.4;128;137652;rate;antall;innbyggere;2013-2017
2016;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;91.2;121;139037;rate;antall;innbyggere;2013-2017
2017;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;112;151;140351;rate;antall;innbyggere;2013-2017
2014;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;98.3;127;135113;rate;antall;innbyggere;2013-2017
2013;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;90.8;114;132704;rate;antall;innbyggere;2013-2017
2015;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;97.4;128;137652;rate;antall;innbyggere;2013-2017
2016;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;91.2;121;139037;rate;antall;innbyggere;2013-2017
2017;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;112;151;140351;rate;antall;innbyggere;2013-2017
2014;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;98.3;127;135113;rate;antall;innbyggere;2013-2017
2013;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;90.8;114;132704;rate;antall;innbyggere;2013-2017
2015;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;97.4;128;137652;rate;antall;innbyggere;2013-2017
2016;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;91.2;121;139037;rate;antall;innbyggere;2013-2017
2017;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;112;151;140351;rate;antall;innbyggere;2013-2017
2014;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;98.3;127;135113;rate;antall;innbyggere;2013-2017
2013;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;90.8;114;132704;rate;antall;innbyggere;2013-2017
2015;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;97.4;128;137652;rate;antall;innbyggere;2013-2017
2016;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;91.2;121;139037;rate;antall;innbyggere;2013-2017
2017;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;112;151;140351;rate;antall;innbyggere;2013-2017
2014;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;98.3;127;135113;rate;antall;innbyggere;2013-2017
2013;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;90.8;114;132704;rate;antall;innbyggere;2013-2017
2015;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;97.4;128;137652;rate;antall;innbyggere;2013-2017
2016;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;91.2;121;139037;rate;antall;innbyggere;2013-2017
2017;16;4;Utvalgt handkirurgi;Diakonhjemmet;1;Dagkirurgi;112;151;140351;rate;antall;innbyggere;2013-2017
2017;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;151.4;665;401740;rate;antall;innbyggere;2013-2017
2013;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;120.6;516;395901;rate;antall;innbyggere;2013-2017
2014;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;138.7;599;397771;rate;antall;innbyggere;2013-2017
2015;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;148.3;643;398463;rate;antall;innbyggere;2013-2017
2016;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;143.9;635;400214;rate;antall;innbyggere;2013-2017
2017;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;151.4;665;401740;rate;antall;innbyggere;2013-2017
2013;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;120.6;516;395901;rate;antall;innbyggere;2013-2017
2014;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;138.7;599;397771;rate;antall;innbyggere;2013-2017
2015;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;148.3;643;398463;rate;antall;innbyggere;2013-2017
2016;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;143.9;635;400214;rate;antall;innbyggere;2013-2017
2017;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;151.4;665;401740;rate;antall;innbyggere;2013-2017
2013;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;120.6;516;395901;rate;antall;innbyggere;2013-2017
2014;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;138.7;599;397771;rate;antall;innbyggere;2013-2017
2015;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;148.3;643;398463;rate;antall;innbyggere;2013-2017
2016;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;143.9;635;400214;rate;antall;innbyggere;2013-2017
2017;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;151.4;665;401740;rate;antall;innbyggere;2013-2017
2013;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;120.6;516;395901;rate;antall;innbyggere;2013-2017
2014;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;138.7;599;397771;rate;antall;innbyggere;2013-2017
2015;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;148.3;643;398463;rate;antall;innbyggere;2013-2017
2016;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;143.9;635;400214;rate;antall;innbyggere;2013-2017
2017;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;151.4;665;401740;rate;antall;innbyggere;2013-2017
2013;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;120.6;516;395901;rate;antall;innbyggere;2013-2017
2014;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;138.7;599;397771;rate;antall;innbyggere;2013-2017
2015;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;148.3;643;398463;rate;antall;innbyggere;2013-2017
2016;17;4;Utvalgt handkirurgi;Innlandet;1;Dagkirurgi;143.9;635;400214;rate;antall;innbyggere;2013-2017
2016;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121;602;487348;rate;antall;innbyggere;2013-2017
2014;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;110.6;530;477342;rate;antall;innbyggere;2013-2017
2017;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121.6;616;491324;rate;antall;innbyggere;2013-2017
2013;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;127.4;600;471286;rate;antall;innbyggere;2013-2017
2015;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;118.1;576;482668;rate;antall;innbyggere;2013-2017
2016;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121;602;487348;rate;antall;innbyggere;2013-2017
2014;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;110.6;530;477342;rate;antall;innbyggere;2013-2017
2017;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121.6;616;491324;rate;antall;innbyggere;2013-2017
2013;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;127.4;600;471286;rate;antall;innbyggere;2013-2017
2015;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;118.1;576;482668;rate;antall;innbyggere;2013-2017
2016;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121;602;487348;rate;antall;innbyggere;2013-2017
2014;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;110.6;530;477342;rate;antall;innbyggere;2013-2017
2017;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121.6;616;491324;rate;antall;innbyggere;2013-2017
2013;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;127.4;600;471286;rate;antall;innbyggere;2013-2017
2015;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;118.1;576;482668;rate;antall;innbyggere;2013-2017
2016;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121;602;487348;rate;antall;innbyggere;2013-2017
2014;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;110.6;530;477342;rate;antall;innbyggere;2013-2017
2017;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121.6;616;491324;rate;antall;innbyggere;2013-2017
2013;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;127.4;600;471286;rate;antall;innbyggere;2013-2017
2015;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;118.1;576;482668;rate;antall;innbyggere;2013-2017
2016;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121;602;487348;rate;antall;innbyggere;2013-2017
2014;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;110.6;530;477342;rate;antall;innbyggere;2013-2017
2017;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;121.6;616;491324;rate;antall;innbyggere;2013-2017
2013;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;127.4;600;471286;rate;antall;innbyggere;2013-2017
2015;18;4;Utvalgt handkirurgi;Vestre Viken;1;Dagkirurgi;118.1;576;482668;rate;antall;innbyggere;2013-2017
2016;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;102.6;251;230899;rate;antall;innbyggere;2013-2017
2013;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;97.5;226;225244;rate;antall;innbyggere;2013-2017
2017;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;96.2;242;232660;rate;antall;innbyggere;2013-2017
2015;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;113.5;272;229066;rate;antall;innbyggere;2013-2017
2014;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;108.4;256;226912;rate;antall;innbyggere;2013-2017
2016;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;102.6;251;230899;rate;antall;innbyggere;2013-2017
2013;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;97.5;226;225244;rate;antall;innbyggere;2013-2017
2017;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;96.2;242;232660;rate;antall;innbyggere;2013-2017
2015;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;113.5;272;229066;rate;antall;innbyggere;2013-2017
2014;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;108.4;256;226912;rate;antall;innbyggere;2013-2017
2016;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;102.6;251;230899;rate;antall;innbyggere;2013-2017
2013;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;97.5;226;225244;rate;antall;innbyggere;2013-2017
2017;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;96.2;242;232660;rate;antall;innbyggere;2013-2017
2015;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;113.5;272;229066;rate;antall;innbyggere;2013-2017
2014;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;108.4;256;226912;rate;antall;innbyggere;2013-2017
2016;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;102.6;251;230899;rate;antall;innbyggere;2013-2017
2013;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;97.5;226;225244;rate;antall;innbyggere;2013-2017
2017;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;96.2;242;232660;rate;antall;innbyggere;2013-2017
2015;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;113.5;272;229066;rate;antall;innbyggere;2013-2017
2014;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;108.4;256;226912;rate;antall;innbyggere;2013-2017
2016;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;102.6;251;230899;rate;antall;innbyggere;2013-2017
2013;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;97.5;226;225244;rate;antall;innbyggere;2013-2017
2017;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;96.2;242;232660;rate;antall;innbyggere;2013-2017
2015;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;113.5;272;229066;rate;antall;innbyggere;2013-2017
2014;19;4;Utvalgt handkirurgi;Vestfold;1;Dagkirurgi;108.4;256;226912;rate;antall;innbyggere;2013-2017
2014;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;91.1;168;171953;rate;antall;innbyggere;2013-2017
2016;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;99.2;183;173307;rate;antall;innbyggere;2013-2017
2013;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;72.3;129;171469;rate;antall;innbyggere;2013-2017
2017;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;102.7;195;173391;rate;antall;innbyggere;2013-2017
2015;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;81.9;151;172494;rate;antall;innbyggere;2013-2017
2014;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;91.1;168;171953;rate;antall;innbyggere;2013-2017
2016;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;99.2;183;173307;rate;antall;innbyggere;2013-2017
2013;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;72.3;129;171469;rate;antall;innbyggere;2013-2017
2017;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;102.7;195;173391;rate;antall;innbyggere;2013-2017
2015;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;81.9;151;172494;rate;antall;innbyggere;2013-2017
2014;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;91.1;168;171953;rate;antall;innbyggere;2013-2017
2016;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;99.2;183;173307;rate;antall;innbyggere;2013-2017
2013;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;72.3;129;171469;rate;antall;innbyggere;2013-2017
2017;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;102.7;195;173391;rate;antall;innbyggere;2013-2017
2015;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;81.9;151;172494;rate;antall;innbyggere;2013-2017
2014;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;91.1;168;171953;rate;antall;innbyggere;2013-2017
2016;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;99.2;183;173307;rate;antall;innbyggere;2013-2017
2013;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;72.3;129;171469;rate;antall;innbyggere;2013-2017
2017;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;102.7;195;173391;rate;antall;innbyggere;2013-2017
2015;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;81.9;151;172494;rate;antall;innbyggere;2013-2017
2014;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;91.1;168;171953;rate;antall;innbyggere;2013-2017
2016;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;99.2;183;173307;rate;antall;innbyggere;2013-2017
2013;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;72.3;129;171469;rate;antall;innbyggere;2013-2017
2017;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;102.7;195;173391;rate;antall;innbyggere;2013-2017
2015;20;4;Utvalgt handkirurgi;Telemark;1;Dagkirurgi;81.9;151;172494;rate;antall;innbyggere;2013-2017
2014;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;96;282;295644;rate;antall;innbyggere;2013-2017
2015;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;92.5;275;298486;rate;antall;innbyggere;2013-2017
2017;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;85.9;263;303754;rate;antall;innbyggere;2013-2017
2013;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;80.2;230;292225;rate;antall;innbyggere;2013-2017
2016;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;103.9;313;300789;rate;antall;innbyggere;2013-2017
2014;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;96;282;295644;rate;antall;innbyggere;2013-2017
2015;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;92.5;275;298486;rate;antall;innbyggere;2013-2017
2017;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;85.9;263;303754;rate;antall;innbyggere;2013-2017
2013;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;80.2;230;292225;rate;antall;innbyggere;2013-2017
2016;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;103.9;313;300789;rate;antall;innbyggere;2013-2017
2014;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;96;282;295644;rate;antall;innbyggere;2013-2017
2015;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;92.5;275;298486;rate;antall;innbyggere;2013-2017
2017;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;85.9;263;303754;rate;antall;innbyggere;2013-2017
2013;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;80.2;230;292225;rate;antall;innbyggere;2013-2017
2016;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;103.9;313;300789;rate;antall;innbyggere;2013-2017
2014;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;96;282;295644;rate;antall;innbyggere;2013-2017
2015;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;92.5;275;298486;rate;antall;innbyggere;2013-2017
2017;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;85.9;263;303754;rate;antall;innbyggere;2013-2017
2013;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;80.2;230;292225;rate;antall;innbyggere;2013-2017
2016;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;103.9;313;300789;rate;antall;innbyggere;2013-2017
2014;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;96;282;295644;rate;antall;innbyggere;2013-2017
2015;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;92.5;275;298486;rate;antall;innbyggere;2013-2017
2017;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;85.9;263;303754;rate;antall;innbyggere;2013-2017
2013;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;80.2;230;292225;rate;antall;innbyggere;2013-2017
2016;21;4;Utvalgt handkirurgi;Sørlandet;1;Dagkirurgi;103.9;313;300789;rate;antall;innbyggere;2013-2017
2013;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;104.6;5256;5109056;rate;antall;innbyggere;2013-2017
2015;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.9;5278;5213985;rate;antall;innbyggere;2013-2017
2016;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.8;5353;5258317;rate;antall;innbyggere;2013-2017
2017;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;105.4;5625;5295619;rate;antall;innbyggere;2013-2017
2014;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;102.1;5211;5165802;rate;antall;innbyggere;2013-2017
2013;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;104.6;5256;5109056;rate;antall;innbyggere;2013-2017
2015;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.9;5278;5213985;rate;antall;innbyggere;2013-2017
2016;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.8;5353;5258317;rate;antall;innbyggere;2013-2017
2017;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;105.4;5625;5295619;rate;antall;innbyggere;2013-2017
2014;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;102.1;5211;5165802;rate;antall;innbyggere;2013-2017
2013;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;104.6;5256;5109056;rate;antall;innbyggere;2013-2017
2015;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.9;5278;5213985;rate;antall;innbyggere;2013-2017
2016;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.8;5353;5258317;rate;antall;innbyggere;2013-2017
2017;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;105.4;5625;5295619;rate;antall;innbyggere;2013-2017
2014;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;102.1;5211;5165802;rate;antall;innbyggere;2013-2017
2013;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;104.6;5256;5109056;rate;antall;innbyggere;2013-2017
2015;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.9;5278;5213985;rate;antall;innbyggere;2013-2017
2016;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.8;5353;5258317;rate;antall;innbyggere;2013-2017
2017;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;105.4;5625;5295619;rate;antall;innbyggere;2013-2017
2014;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;102.1;5211;5165802;rate;antall;innbyggere;2013-2017
2013;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;104.6;5256;5109056;rate;antall;innbyggere;2013-2017
2015;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.9;5278;5213985;rate;antall;innbyggere;2013-2017
2016;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;101.8;5353;5258317;rate;antall;innbyggere;2013-2017
2017;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;105.4;5625;5295619;rate;antall;innbyggere;2013-2017
2014;8888;4;Utvalgt handkirurgi;Norge;1;Dagkirurgi;102.1;5211;5165802;rate;antall;innbyggere;2013-2017
2016;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;111.9;86;76149;rate;antall;innbyggere;2013-2017
2013;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;106.3;79;75207;rate;antall;innbyggere;2013-2017
2014;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;120.1;91;75605;rate;antall;innbyggere;2013-2017
2015;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;112.8;85;75758;rate;antall;innbyggere;2013-2017
2017;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;107.3;83;76167;rate;antall;innbyggere;2013-2017
2016;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;111.9;86;76149;rate;antall;innbyggere;2013-2017
2013;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;106.3;79;75207;rate;antall;innbyggere;2013-2017
2014;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;120.1;91;75605;rate;antall;innbyggere;2013-2017
2015;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;112.8;85;75758;rate;antall;innbyggere;2013-2017
2017;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;107.3;83;76167;rate;antall;innbyggere;2013-2017
2016;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;111.9;86;76149;rate;antall;innbyggere;2013-2017
2013;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;106.3;79;75207;rate;antall;innbyggere;2013-2017
2014;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;120.1;91;75605;rate;antall;innbyggere;2013-2017
2015;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;112.8;85;75758;rate;antall;innbyggere;2013-2017
2017;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;107.3;83;76167;rate;antall;innbyggere;2013-2017
2016;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;111.9;86;76149;rate;antall;innbyggere;2013-2017
2013;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;106.3;79;75207;rate;antall;innbyggere;2013-2017
2014;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;120.1;91;75605;rate;antall;innbyggere;2013-2017
2015;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;112.8;85;75758;rate;antall;innbyggere;2013-2017
2017;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;107.3;83;76167;rate;antall;innbyggere;2013-2017
2016;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;111.9;86;76149;rate;antall;innbyggere;2013-2017
2013;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;106.3;79;75207;rate;antall;innbyggere;2013-2017
2014;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;120.1;91;75605;rate;antall;innbyggere;2013-2017
2015;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;112.8;85;75758;rate;antall;innbyggere;2013-2017
2017;1;5;Karpaltunnelsyndrom;Finnmark;1;Dagkirurgi;107.3;83;76167;rate;antall;innbyggere;2013-2017
2014;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;134;256;189712;rate;antall;innbyggere;2013-2017
2016;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;131.4;257;191730;rate;antall;innbyggere;2013-2017
2017;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;172.1;340;192407;rate;antall;innbyggere;2013-2017
2013;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;130.3;247;188241;rate;antall;innbyggere;2013-2017
2015;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;104.8;203;190500;rate;antall;innbyggere;2013-2017
2014;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;134;256;189712;rate;antall;innbyggere;2013-2017
2016;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;131.4;257;191730;rate;antall;innbyggere;2013-2017
2017;2;5;Karpaltunnelsyndrom;UNN;1;Dagkirurgi;172.1;340;192407;rate;antall;innbyggere;2013-2017
