area;level2;level2_en;area_en;Level1;level1_en;value;numerator;denominator;type;name_numerator;name_denominator;Period
2;12;Heart failure, readmissions;UNN;3;Cardiac medicine;21.68;50;231;Proportion (%);Readmissions;Primary admissions;2013-2015
3;12;Heart failure, readmissions;Nordland;3;Cardiac medicine;25.41;42;166;Proportion (%);Readmissions;Primary admissions;2013-2015
4;12;Heart failure, readmissions;Helgeland;3;Cardiac medicine;22.38;26;115;Proportion (%);Readmissions;Primary admissions;2013-2015
5;12;Heart failure, readmissions;Nord-Trøndelag;3;Cardiac medicine;31.21;63;201;Proportion (%);Readmissions;Primary admissions;2013-2015
6;12;Heart failure, readmissions;St. Olavs;3;Cardiac medicine;23.61;72;303;Proportion (%);Readmissions;Primary admissions;2013-2015
7;12;Heart failure, readmissions;Møre og Romsdal;3;Cardiac medicine;24.69;74;302;Proportion (%);Readmissions;Primary admissions;2013-2015
8;12;Heart failure, readmissions;Førde;3;Cardiac medicine;24.75;36;147;Proportion (%);Readmissions;Primary admissions;2013-2015
9;12;Heart failure, readmissions;Bergen;3;Cardiac medicine;27.82;150;538;Proportion (%);Readmissions;Primary admissions;2013-2015
10;12;Heart failure, readmissions;Fonna;3;Cardiac medicine;27.87;71;255;Proportion (%);Readmissions;Primary admissions;2013-2015
11;12;Heart failure, readmissions;Stavanger;3;Cardiac medicine;25.27;63;249;Proportion (%);Readmissions;Primary admissions;2013-2015
12;12;Heart failure, readmissions;Østfold;3;Cardiac medicine;30.23;89;296;Proportion (%);Readmissions;Primary admissions;2013-2015
13;12;Heart failure, readmissions;Akershus;3;Cardiac medicine;27.02;142;520;Proportion (%);Readmissions;Primary admissions;2013-2015
14;12;Heart failure, readmissions;OUS;3;Cardiac medicine;28.2;88;315;Proportion (%);Readmissions;Primary admissions;2013-2015
15;12;Heart failure, readmissions;Innlandet;3;Cardiac medicine;24.44;139;567;Proportion (%);Readmissions;Primary admissions;2013-2015
16;12;Heart failure, readmissions;Vestre Viken;3;Cardiac medicine;24.51;148;601;Proportion (%);Readmissions;Primary admissions;2013-2015
17;12;Heart failure, readmissions;Vestfold;3;Cardiac medicine;24.31;63;257;Proportion (%);Readmissions;Primary admissions;2013-2015
18;12;Heart failure, readmissions;Telemark;3;Cardiac medicine;19.69;45;228;Proportion (%);Readmissions;Primary admissions;2013-2015
19;12;Heart failure, readmissions;Sørlandet;3;Cardiac medicine;21.1;71;337;Proportion (%);Readmissions;Primary admissions;2013-2015
20;12;Heart failure, readmissions;Inner Oslo;3;Cardiac medicine;30.74;76;243;Proportion (%);Readmissions;Primary admissions;2013-2015
8888;12;Heart failure, readmissions;Norway;3;Cardiac medicine;25.59;1521;5940;Proportion (%);Readmissions;Primary admissions;2013-2015
1;13;Exercise ECG, outpatient services;Finnmark;3;Cardiac medicine;87.37;453;5054;Rate;Number;Inhabitants;2013-2015
2;13;Exercise ECG, outpatient services;UNN;3;Cardiac medicine;48.92;681;13700;Rate;Number;Inhabitants;2013-2015
3;13;Exercise ECG, outpatient services;Nordland;3;Cardiac medicine;38.42;422;10815;Rate;Number;Inhabitants;2013-2015
4;13;Exercise ECG, outpatient services;Helgeland;3;Cardiac medicine;22.68;158;6721;Rate;Number;Inhabitants;2013-2015
5;13;Exercise ECG, outpatient services;Nord-Trøndelag;3;Cardiac medicine;25.34;289;11219;Rate;Number;Inhabitants;2013-2015
6;13;Exercise ECG, outpatient services;St. Olavs;3;Cardiac medicine;33.12;683;20548;Rate;Number;Inhabitants;2013-2015
7;13;Exercise ECG, outpatient services;Møre og Romsdal;3;Cardiac medicine;31.1;639;20861;Rate;Number;Inhabitants;2013-2015
8;13;Exercise ECG, outpatient services;Førde;3;Cardiac medicine;23.66;220;9515;Rate;Number;Inhabitants;2013-2015
9;13;Exercise ECG, outpatient services;Bergen;3;Cardiac medicine;90.28;2642;29339;Rate;Number;Inhabitants;2013-2015
10;13;Exercise ECG, outpatient services;Fonna;3;Cardiac medicine;70.62;933;13192;Rate;Number;Inhabitants;2013-2015
11;13;Exercise ECG, outpatient services;Stavanger;3;Cardiac medicine;67.34;1293;19056;Rate;Number;Inhabitants;2013-2015
12;13;Exercise ECG, outpatient services;Østfold;3;Cardiac medicine;37.49;829;21830;Rate;Number;Inhabitants;2013-2015
13;13;Exercise ECG, outpatient services;Akershus;3;Cardiac medicine;91.98;2693;28648;Rate;Number;Inhabitants;2013-2015
14;13;Exercise ECG, outpatient services;OUS;3;Cardiac medicine;66.54;969;15113;Rate;Number;Inhabitants;2013-2015
15;13;Exercise ECG, outpatient services;Innlandet;3;Cardiac medicine;34.59;1222;35111;Rate;Number;Inhabitants;2013-2015
16;13;Exercise ECG, outpatient services;Vestre Viken;3;Cardiac medicine;47.69;1646;34438;Rate;Number;Inhabitants;2013-2015
17;13;Exercise ECG, outpatient services;Vestfold;3;Cardiac medicine;65.28;1179;17862;Rate;Number;Inhabitants;2013-2015
18;13;Exercise ECG, outpatient services;Telemark;3;Cardiac medicine;49.12;690;14098;Rate;Number;Inhabitants;2013-2015
19;13;Exercise ECG, outpatient services;Sørlandet;3;Cardiac medicine;62.27;1277;20283;Rate;Number;Inhabitants;2013-2015
20;13;Exercise ECG, outpatient services;Inner Oslo;3;Cardiac medicine;56.03;682;12527;Rate;Number;Inhabitants;2013-2015
8888;13;Exercise ECG, outpatient services;Norway;3;Cardiac medicine;54.23;19600;359928;Rate;Number;Inhabitants;2013-2015
1;14;Long-term ECG, outpatient services;Finnmark;3;Cardiac medicine;20.47;104;5054;Rate;Number;Inhabitants;2013-2015
2;14;Long-term ECG, outpatient services;UNN;3;Cardiac medicine;17.91;248;13700;Rate;Number;Inhabitants;2013-2015
3;14;Long-term ECG, outpatient services;Nordland;3;Cardiac medicine;25.28;275;10815;Rate;Number;Inhabitants;2013-2015
4;14;Long-term ECG, outpatient services;Helgeland;3;Cardiac medicine;22.8;156;6721;Rate;Number;Inhabitants;2013-2015
5;14;Long-term ECG, outpatient services;Nord-Trøndelag;3;Cardiac medicine;14.14;160;11219;Rate;Number;Inhabitants;2013-2015
6;14;Long-term ECG, outpatient services;St. Olavs;3;Cardiac medicine;10.05;207;20548;Rate;Number;Inhabitants;2013-2015
7;14;Long-term ECG, outpatient services;Møre og Romsdal;3;Cardiac medicine;21.08;439;20861;Rate;Number;Inhabitants;2013-2015
8;14;Long-term ECG, outpatient services;Førde;3;Cardiac medicine;42.65;402;9515;Rate;Number;Inhabitants;2013-2015
9;14;Long-term ECG, outpatient services;Bergen;3;Cardiac medicine;26.79;784;29339;Rate;Number;Inhabitants;2013-2015
10;14;Long-term ECG, outpatient services;Fonna;3;Cardiac medicine;47.71;630;13192;Rate;Number;Inhabitants;2013-2015
11;14;Long-term ECG, outpatient services;Stavanger;3;Cardiac medicine;20.54;394;19056;Rate;Number;Inhabitants;2013-2015
12;14;Long-term ECG, outpatient services;Østfold;3;Cardiac medicine;16.6;365;21830;Rate;Number;Inhabitants;2013-2015
13;14;Long-term ECG, outpatient services;Akershus;3;Cardiac medicine;30.56;898;28648;Rate;Number;Inhabitants;2013-2015
14;14;Long-term ECG, outpatient services;OUS;3;Cardiac medicine;24.97;366;15113;Rate;Number;Inhabitants;2013-2015
15;14;Long-term ECG, outpatient services;Innlandet;3;Cardiac medicine;19.69;695;35111;Rate;Number;Inhabitants;2013-2015
16;14;Long-term ECG, outpatient services;Vestre Viken;3;Cardiac medicine;28.78;994;34438;Rate;Number;Inhabitants;2013-2015
17;14;Long-term ECG, outpatient services;Vestfold;3;Cardiac medicine;26.86;483;17862;Rate;Number;Inhabitants;2013-2015
18;14;Long-term ECG, outpatient services;Telemark;3;Cardiac medicine;22.7;319;14098;Rate;Number;Inhabitants;2013-2015
19;14;Long-term ECG, outpatient services;Sørlandet;3;Cardiac medicine;39.12;801;20283;Rate;Number;Inhabitants;2013-2015
20;14;Long-term ECG, outpatient services;Inner Oslo;3;Cardiac medicine;26.01;320;12527;Rate;Number;Inhabitants;2013-2015
8888;14;Long-term ECG, outpatient services;Norway;3;Cardiac medicine;25.03;9040;359928;Rate;Number;Inhabitants;2013-2015
1;15;Echocardiography, outpatient services;Finnmark;3;Cardiac medicine;158.11;804;5054;Rate;Number;Inhabitants;2013-2015
2;15;Echocardiography, outpatient services;UNN;3;Cardiac medicine;75.99;1049;13700;Rate;Number;Inhabitants;2013-2015
3;15;Echocardiography, outpatient services;Nordland;3;Cardiac medicine;87.2;946;10815;Rate;Number;Inhabitants;2013-2015
4;15;Echocardiography, outpatient services;Helgeland;3;Cardiac medicine;105.19;712;6721;Rate;Number;Inhabitants;2013-2015
5;15;Echocardiography, outpatient services;Nord-Trøndelag;3;Cardiac medicine;67.2;760;11219;Rate;Number;Inhabitants;2013-2015
6;15;Echocardiography, outpatient services;St. Olavs;3;Cardiac medicine;78.14;1609;20548;Rate;Number;Inhabitants;2013-2015
7;15;Echocardiography, outpatient services;Møre og Romsdal;3;Cardiac medicine;70.05;1446;20861;Rate;Number;Inhabitants;2013-2015
8;15;Echocardiography, outpatient services;Førde;3;Cardiac medicine;103.03;974;9515;Rate;Number;Inhabitants;2013-2015
9;15;Echocardiography, outpatient services;Bergen;3;Cardiac medicine;114.24;3342;29339;Rate;Number;Inhabitants;2013-2015
10;15;Echocardiography, outpatient services;Fonna;3;Cardiac medicine;130.86;1727;13192;Rate;Number;Inhabitants;2013-2015
11;15;Echocardiography, outpatient services;Stavanger;3;Cardiac medicine;88.77;1698;19056;Rate;Number;Inhabitants;2013-2015
12;15;Echocardiography, outpatient services;Østfold;3;Cardiac medicine;56.15;1240;21830;Rate;Number;Inhabitants;2013-2015
13;15;Echocardiography, outpatient services;Akershus;3;Cardiac medicine;98.76;2876;28648;Rate;Number;Inhabitants;2013-2015
14;15;Echocardiography, outpatient services;OUS;3;Cardiac medicine;81.28;1190;15113;Rate;Number;Inhabitants;2013-2015
15;15;Echocardiography, outpatient services;Innlandet;3;Cardiac medicine;56.72;2002;35111;Rate;Number;Inhabitants;2013-2015
16;15;Echocardiography, outpatient services;Vestre Viken;3;Cardiac medicine;76.9;2650;34438;Rate;Number;Inhabitants;2013-2015
17;15;Echocardiography, outpatient services;Vestfold;3;Cardiac medicine;112.73;2022;17862;Rate;Number;Inhabitants;2013-2015
18;15;Echocardiography, outpatient services;Telemark;3;Cardiac medicine;117.58;1650;14098;Rate;Number;Inhabitants;2013-2015
19;15;Echocardiography, outpatient services;Sørlandet;3;Cardiac medicine;98.42;2012;20283;Rate;Number;Inhabitants;2013-2015
20;15;Echocardiography, outpatient services;Inner Oslo;3;Cardiac medicine;90.33;1104;12527;Rate;Number;Inhabitants;2013-2015
8888;15;Echocardiography, outpatient services;Norway;3;Cardiac medicine;88.21;31813;359928;Rate;Number;Inhabitants;2013-2015
1;16;Pacemaker;Finnmark;3;Cardiac medicine;;20;5054;Rate;Number;Inhabitants;2013-2015
2;16;Pacemaker;UNN;3;Cardiac medicine;3.83;51;13700;Rate;Number;Inhabitants;2013-2015
3;16;Pacemaker;Nordland;3;Cardiac medicine;6.23;67;10815;Rate;Number;Inhabitants;2013-2015
4;16;Pacemaker;Helgeland;3;Cardiac medicine;7.68;51;6721;Rate;Number;Inhabitants;2013-2015
5;16;Pacemaker;Nord-Trøndelag;3;Cardiac medicine;5.01;56;11219;Rate;Number;Inhabitants;2013-2015
6;16;Pacemaker;St. Olavs;3;Cardiac medicine;4.56;94;20548;Rate;Number;Inhabitants;2013-2015
7;16;Pacemaker;Møre og Romsdal;3;Cardiac medicine;4.82;102;20861;Rate;Number;Inhabitants;2013-2015
8;16;Pacemaker;Førde;3;Cardiac medicine;4.84;46;9515;Rate;Number;Inhabitants;2013-2015
9;16;Pacemaker;Bergen;3;Cardiac medicine;7.42;218;29339;Rate;Number;Inhabitants;2013-2015
10;16;Pacemaker;Fonna;3;Cardiac medicine;7.48;99;13192;Rate;Number;Inhabitants;2013-2015
11;16;Pacemaker;Stavanger;3;Cardiac medicine;3.3;63;19056;Rate;Number;Inhabitants;2013-2015
12;16;Pacemaker;Østfold;3;Cardiac medicine;5.27;114;21830;Rate;Number;Inhabitants;2013-2015
13;16;Pacemaker;Akershus;3;Cardiac medicine;6.55;183;28648;Rate;Number;Inhabitants;2013-2015
14;16;Pacemaker;OUS;3;Cardiac medicine;7.01;106;15113;Rate;Number;Inhabitants;2013-2015
15;16;Pacemaker;Innlandet;3;Cardiac medicine;4.12;146;35111;Rate;Number;Inhabitants;2013-2015
16;16;Pacemaker;Vestre Viken;3;Cardiac medicine;6.85;237;34438;Rate;Number;Inhabitants;2013-2015
17;16;Pacemaker;Vestfold;3;Cardiac medicine;5.37;95;17862;Rate;Number;Inhabitants;2013-2015
18;16;Pacemaker;Telemark;3;Cardiac medicine;6.41;90;14098;Rate;Number;Inhabitants;2013-2015
19;16;Pacemaker;Sørlandet;3;Cardiac medicine;3.91;79;20283;Rate;Number;Inhabitants;2013-2015
20;16;Pacemaker;Inner Oslo;3;Cardiac medicine;5.03;63;12527;Rate;Number;Inhabitants;2013-2015
8888;16;Pacemaker;Norway;3;Cardiac medicine;5.51;1982;359928;Rate;Number;Inhabitants;2013-2015
1;17;Pneumonia, emergency admissions;Finnmark;4;Pulmonary medicine;28.41;139;5054;Rate;Number;Inhabitants;2013-2015
2;17;Pneumonia, emergency admissions;UNN;4;Pulmonary medicine;26.43;356;13700;Rate;Number;Inhabitants;2013-2015
3;17;Pneumonia, emergency admissions;Nordland;4;Pulmonary medicine;36.69;392;10815;Rate;Number;Inhabitants;2013-2015
4;17;Pneumonia, emergency admissions;Helgeland;4;Pulmonary medicine;35.79;239;6721;Rate;Number;Inhabitants;2013-2015
5;17;Pneumonia, emergency admissions;Nord-Trøndelag;4;Pulmonary medicine;34.55;390;11219;Rate;Number;Inhabitants;2013-2015
6;17;Pneumonia, emergency admissions;St. Olavs;4;Pulmonary medicine;30.59;628;20548;Rate;Number;Inhabitants;2013-2015
7;17;Pneumonia, emergency admissions;Møre og Romsdal;4;Pulmonary medicine;35.81;765;20861;Rate;Number;Inhabitants;2013-2015
8;17;Pneumonia, emergency admissions;Førde;4;Pulmonary medicine;29.73;293;9515;Rate;Number;Inhabitants;2013-2015
9;17;Pneumonia, emergency admissions;Bergen;4;Pulmonary medicine;37.46;1105;29339;Rate;Number;Inhabitants;2013-2015
10;17;Pneumonia, emergency admissions;Fonna;4;Pulmonary medicine;43.04;571;13192;Rate;Number;Inhabitants;2013-2015
11;17;Pneumonia, emergency admissions;Stavanger;4;Pulmonary medicine;46.11;876;19056;Rate;Number;Inhabitants;2013-2015
12;17;Pneumonia, emergency admissions;Østfold;4;Pulmonary medicine;30.07;648;21830;Rate;Number;Inhabitants;2013-2015
13;17;Pneumonia, emergency admissions;Akershus;4;Pulmonary medicine;36.9;1025;28648;Rate;Number;Inhabitants;2013-2015
14;17;Pneumonia, emergency admissions;OUS;4;Pulmonary medicine;36.87;574;15113;Rate;Number;Inhabitants;2013-2015
15;17;Pneumonia, emergency admissions;Innlandet;4;Pulmonary medicine;35.34;1248;35111;Rate;Number;Inhabitants;2013-2015
16;17;Pneumonia, emergency admissions;Vestre Viken;4;Pulmonary medicine;28.21;978;34438;Rate;Number;Inhabitants;2013-2015
17;17;Pneumonia, emergency admissions;Vestfold;4;Pulmonary medicine;35.08;624;17862;Rate;Number;Inhabitants;2013-2015
18;17;Pneumonia, emergency admissions;Telemark;4;Pulmonary medicine;31.28;444;14098;Rate;Number;Inhabitants;2013-2015
19;17;Pneumonia, emergency admissions;Sørlandet;4;Pulmonary medicine;31.93;643;20283;Rate;Number;Inhabitants;2013-2015
20;17;Pneumonia, emergency admissions;Inner Oslo;4;Pulmonary medicine;41.9;541;12527;Rate;Number;Inhabitants;2013-2015
8888;17;Pneumonia, emergency admissions;Norway;4;Pulmonary medicine;34.67;12477;359928;Rate;Number;Inhabitants;2013-2015
1;18;Pneumonia, readmissions;Finnmark;4;Pulmonary medicine;21.98;26;118;Proportion (%);Readmissions;Primary admissions;2013-2015
2;18;Pneumonia, readmissions;UNN;4;Pulmonary medicine;18.88;58;309;Proportion (%);Readmissions;Primary admissions;2013-2015
3;18;Pneumonia, readmissions;Nordland;4;Pulmonary medicine;22.6;76;334;Proportion (%);Readmissions;Primary admissions;2013-2015
4;18;Pneumonia, readmissions;Helgeland;4;Pulmonary medicine;20.13;43;209;Proportion (%);Readmissions;Primary admissions;2013-2015
5;18;Pneumonia, readmissions;Nord-Trøndelag;4;Pulmonary medicine;25.15;86;343;Proportion (%);Readmissions;Primary admissions;2013-2015
6;18;Pneumonia, readmissions;St. Olavs;4;Pulmonary medicine;19.07;102;534;Proportion (%);Readmissions;Primary admissions;2013-2015
7;18;Pneumonia, readmissions;Møre og Romsdal;4;Pulmonary medicine;20.8;132;638;Proportion (%);Readmissions;Primary admissions;2013-2015
8;18;Pneumonia, readmissions;Førde;4;Pulmonary medicine;21.2;52;247;Proportion (%);Readmissions;Primary admissions;2013-2015
9;18;Pneumonia, readmissions;Bergen;4;Pulmonary medicine;22.47;214;953;Proportion (%);Readmissions;Primary admissions;2013-2015
10;18;Pneumonia, readmissions;Fonna;4;Pulmonary medicine;22.49;111;495;Proportion (%);Readmissions;Primary admissions;2013-2015
11;18;Pneumonia, readmissions;Stavanger;4;Pulmonary medicine;20.9;154;737;Proportion (%);Readmissions;Primary admissions;2013-2015
12;18;Pneumonia, readmissions;Østfold;4;Pulmonary medicine;23.1;125;542;Proportion (%);Readmissions;Primary admissions;2013-2015
13;18;Pneumonia, readmissions;Akershus;4;Pulmonary medicine;23.05;201;864;Proportion (%);Readmissions;Primary admissions;2013-2015
14;18;Pneumonia, readmissions;OUS;4;Pulmonary medicine;20.72;99;484;Proportion (%);Readmissions;Primary admissions;2013-2015
15;18;Pneumonia, readmissions;Innlandet;4;Pulmonary medicine;21.36;223;1040;Proportion (%);Readmissions;Primary admissions;2013-2015
16;18;Pneumonia, readmissions;Vestre Viken;4;Pulmonary medicine;19.94;166;835;Proportion (%);Readmissions;Primary admissions;2013-2015
17;18;Pneumonia, readmissions;Vestfold;4;Pulmonary medicine;24.02;129;539;Proportion (%);Readmissions;Primary admissions;2013-2015
18;18;Pneumonia, readmissions;Telemark;4;Pulmonary medicine;19.82;72;366;Proportion (%);Readmissions;Primary admissions;2013-2015
19;18;Pneumonia, readmissions;Sørlandet;4;Pulmonary medicine;22.62;123;539;Proportion (%);Readmissions;Primary admissions;2013-2015
20;18;Pneumonia, readmissions;Inner Oslo;4;Pulmonary medicine;27.1;120;452;Proportion (%);Readmissions;Primary admissions;2013-2015
8888;18;Pneumonia, readmissions;Norway;4;Pulmonary medicine;21.87;2312;10577;Proportion (%);Readmissions;Primary admissions;2013-2015
1;19;COPD, emergency admissions;Finnmark;4;Pulmonary medicine;22.16;113;5054;Rate;Number;Inhabitants;2013-2015
2;19;COPD, emergency admissions;UNN;4;Pulmonary medicine;24.66;334;13700;Rate;Number;Inhabitants;2013-2015
3;19;COPD, emergency admissions;Nordland;4;Pulmonary medicine;25.02;269;10815;Rate;Number;Inhabitants;2013-2015
4;19;COPD, emergency admissions;Helgeland;4;Pulmonary medicine;18.96;128;6721;Rate;Number;Inhabitants;2013-2015
5;19;COPD, emergency admissions;Nord-Trøndelag;4;Pulmonary medicine;25.1;285;11219;Rate;Number;Inhabitants;2013-2015
6;19;COPD, emergency admissions;St. Olavs;4;Pulmonary medicine;23.66;487;20548;Rate;Number;Inhabitants;2013-2015
7;19;COPD, emergency admissions;Møre og Romsdal;4;Pulmonary medicine;20.02;419;20861;Rate;Number;Inhabitants;2013-2015
8;19;COPD, emergency admissions;Førde;4;Pulmonary medicine;17.35;166;9515;Rate;Number;Inhabitants;2013-2015
9;19;COPD, emergency admissions;Bergen;4;Pulmonary medicine;24.98;731;29339;Rate;Number;Inhabitants;2013-2015
10;19;COPD, emergency admissions;Fonna;4;Pulmonary medicine;27.45;362;13192;Rate;Number;Inhabitants;2013-2015
11;19;COPD, emergency admissions;Stavanger;4;Pulmonary medicine;24.25;463;19056;Rate;Number;Inhabitants;2013-2015
12;19;COPD, emergency admissions;Østfold;4;Pulmonary medicine;19.58;428;21830;Rate;Number;Inhabitants;2013-2015
13;19;COPD, emergency admissions;Akershus;4;Pulmonary medicine;23.34;667;28648;Rate;Number;Inhabitants;2013-2015
14;19;COPD, emergency admissions;OUS;4;Pulmonary medicine;27.69;416;15113;Rate;Number;Inhabitants;2013-2015
15;19;COPD, emergency admissions;Innlandet;4;Pulmonary medicine;21.37;756;35111;Rate;Number;Inhabitants;2013-2015
16;19;COPD, emergency admissions;Vestre Viken;4;Pulmonary medicine;21.32;734;34438;Rate;Number;Inhabitants;2013-2015
17;19;COPD, emergency admissions;Vestfold;4;Pulmonary medicine;25.98;464;17862;Rate;Number;Inhabitants;2013-2015
18;19;COPD, emergency admissions;Telemark;4;Pulmonary medicine;21.5;302;14098;Rate;Number;Inhabitants;2013-2015
19;19;COPD, emergency admissions;Sørlandet;4;Pulmonary medicine;19.69;400;20283;Rate;Number;Inhabitants;2013-2015
20;19;COPD, emergency admissions;Inner Oslo;4;Pulmonary medicine;20.44;254;12527;Rate;Number;Inhabitants;2013-2015
8888;19;COPD, emergency admissions;Norway;4;Pulmonary medicine;22.73;8180;359928;Rate;Number;Inhabitants;2013-2015
1;20;COPD, readmissions;Finnmark;4;Pulmonary medicine;24.78;25;102;Proportion (%);Readmissions;Primary admissions;2013-2015
2;20;COPD, readmissions;UNN;4;Pulmonary medicine;27.55;84;304;Proportion (%);Readmissions;Primary admissions;2013-2015
3;20;COPD, readmissions;Nordland;4;Pulmonary medicine;28.35;69;242;Proportion (%);Readmissions;Primary admissions;2013-2015
4;20;COPD, readmissions;Helgeland;4;Pulmonary medicine;27.99;33;117;Proportion (%);Readmissions;Primary admissions;2013-2015
5;20;COPD, readmissions;Nord-Trøndelag;4;Pulmonary medicine;28.6;75;260;Proportion (%);Readmissions;Primary admissions;2013-2015
6;20;COPD, readmissions;St. Olavs;4;Pulmonary medicine;30.05;133;444;Proportion (%);Readmissions;Primary admissions;2013-2015
7;20;COPD, readmissions;Møre og Romsdal;4;Pulmonary medicine;28.47;107;375;Proportion (%);Readmissions;Primary admissions;2013-2015
8;20;COPD, readmissions;Førde;4;Pulmonary medicine;25.69;38;148;Proportion (%);Readmissions;Primary admissions;2013-2015
9;20;COPD, readmissions;Bergen;4;Pulmonary medicine;29.65;200;675;Proportion (%);Readmissions;Primary admissions;2013-2015
10;20;COPD, readmissions;Fonna;4;Pulmonary medicine;30.49;101;332;Proportion (%);Readmissions;Primary admissions;2013-2015
11;20;COPD, readmissions;Stavanger;4;Pulmonary medicine;27.96;117;417;Proportion (%);Readmissions;Primary admissions;2013-2015
12;20;COPD, readmissions;Østfold;4;Pulmonary medicine;29.11;113;388;Proportion (%);Readmissions;Primary admissions;2013-2015
13;20;COPD, readmissions;Akershus;4;Pulmonary medicine;30.1;181;606;Proportion (%);Readmissions;Primary admissions;2013-2015
14;20;COPD, readmissions;OUS;4;Pulmonary medicine;32.67;122;381;Proportion (%);Readmissions;Primary admissions;2013-2015
15;20;COPD, readmissions;Innlandet;4;Pulmonary medicine;26.44;177;668;Proportion (%);Readmissions;Primary admissions;2013-2015
16;20;COPD, readmissions;Vestre Viken;4;Pulmonary medicine;28.69;188;656;Proportion (%);Readmissions;Primary admissions;2013-2015
17;20;COPD, readmissions;Vestfold;4;Pulmonary medicine;28.5;116;406;Proportion (%);Readmissions;Primary admissions;2013-2015
18;20;COPD, readmissions;Telemark;4;Pulmonary medicine;30;79;265;Proportion (%);Readmissions;Primary admissions;2013-2015
19;20;COPD, readmissions;Sørlandet;4;Pulmonary medicine;28.33;100;353;Proportion (%);Readmissions;Primary admissions;2013-2015
20;20;COPD, readmissions;Inner Oslo;4;Pulmonary medicine;38.07;87;233;Proportion (%);Readmissions;Primary admissions;2013-2015
8888;20;COPD, readmissions;Norway;4;Pulmonary medicine;29.08;2144;7371;Proportion (%);Readmissions;Primary admissions;2013-2015
1;21;Primary hip replacement;Finnmark;5;Orthopaedics;;24;5054;Rate;Number;Inhabitants;2013-2015
2;21;Primary hip replacement;UNN;5;Orthopaedics;4.36;60;13700;Rate;Number;Inhabitants;2013-2015
3;21;Primary hip replacement;Nordland;5;Orthopaedics;5.72;62;10815;Rate;Number;Inhabitants;2013-2015
4;21;Primary hip replacement;Helgeland;5;Orthopaedics;7;47;6721;Rate;Number;Inhabitants;2013-2015
5;21;Primary hip replacement;Nord-Trøndelag;5;Orthopaedics;6.81;76;11219;Rate;Number;Inhabitants;2013-2015
6;21;Primary hip replacement;St. Olavs;5;Orthopaedics;7.11;146;20548;Rate;Number;Inhabitants;2013-2015
7;21;Primary hip replacement;Møre og Romsdal;5;Orthopaedics;6.94;142;20861;Rate;Number;Inhabitants;2013-2015
8;21;Primary hip replacement;Førde;5;Orthopaedics;6.79;63;9515;Rate;Number;Inhabitants;2013-2015
9;21;Primary hip replacement;Bergen;5;Orthopaedics;5.88;173;29339;Rate;Number;Inhabitants;2013-2015
10;21;Primary hip replacement;Fonna;5;Orthopaedics;6.79;89;13192;Rate;Number;Inhabitants;2013-2015
11;21;Primary hip replacement;Stavanger;5;Orthopaedics;7.36;140;19056;Rate;Number;Inhabitants;2013-2015
12;21;Primary hip replacement;Østfold;5;Orthopaedics;6.89;151;21830;Rate;Number;Inhabitants;2013-2015
13;21;Primary hip replacement;Akershus;5;Orthopaedics;6.31;185;28648;Rate;Number;Inhabitants;2013-2015
14;21;Primary hip replacement;OUS;5;Orthopaedics;6.25;93;15113;Rate;Number;Inhabitants;2013-2015
15;21;Primary hip replacement;Innlandet;5;Orthopaedics;6.32;221;35111;Rate;Number;Inhabitants;2013-2015
16;21;Primary hip replacement;Vestre Viken;5;Orthopaedics;6.99;241;34438;Rate;Number;Inhabitants;2013-2015
17;21;Primary hip replacement;Vestfold;5;Orthopaedics;5.85;105;17862;Rate;Number;Inhabitants;2013-2015
18;21;Primary hip replacement;Telemark;5;Orthopaedics;6.34;89;14098;Rate;Number;Inhabitants;2013-2015
19;21;Primary hip replacement;Sørlandet;5;Orthopaedics;7.14;146;20283;Rate;Number;Inhabitants;2013-2015
20;21;Primary hip replacement;Inner Oslo;5;Orthopaedics;6.12;76;12527;Rate;Number;Inhabitants;2013-2015
8888;21;Primary hip replacement;Norway;5;Orthopaedics;6.47;2330;359928;Rate;Number;Inhabitants;2013-2015
1;22;Primary knee replacements;Finnmark;5;Orthopaedics;;16;5054;Rate;Number;Inhabitants;2013-2015
2;22;Primary knee replacements;UNN;5;Orthopaedics;3.66;51;13700;Rate;Number;Inhabitants;2013-2015
3;22;Primary knee replacements;Nordland;5;Orthopaedics;3.43;38;10815;Rate;Number;Inhabitants;2013-2015
4;22;Primary knee replacements;Helgeland;5;Orthopaedics;;26;6721;Rate;Number;Inhabitants;2013-2015
5;22;Primary knee replacements;Nord-Trøndelag;5;Orthopaedics;5.34;60;11219;Rate;Number;Inhabitants;2013-2015
6;22;Primary knee replacements;St. Olavs;5;Orthopaedics;3.85;79;20548;Rate;Number;Inhabitants;2013-2015
7;22;Primary knee replacements;Møre og Romsdal;5;Orthopaedics;4.25;87;20861;Rate;Number;Inhabitants;2013-2015
8;22;Primary knee replacements;Førde;5;Orthopaedics;4.95;46;9515;Rate;Number;Inhabitants;2013-2015
9;22;Primary knee replacements;Bergen;5;Orthopaedics;4.01;118;29339;Rate;Number;Inhabitants;2013-2015
10;22;Primary knee replacements;Fonna;5;Orthopaedics;3.95;52;13192;Rate;Number;Inhabitants;2013-2015
11;22;Primary knee replacements;Stavanger;5;Orthopaedics;3.65;70;19056;Rate;Number;Inhabitants;2013-2015
12;22;Primary knee replacements;Østfold;5;Orthopaedics;4.18;93;21830;Rate;Number;Inhabitants;2013-2015
